Time, Acc, GYR, Mag
1.09723	-70 	 143 	 1277	7 	 5 	 -122	-12 	 -1 	 496
1.106149	-80 	 147 	 1270	16 	 3 	 -129	-13 	 1 	 497
1.115304	-86 	 132 	 1252	10 	 -1 	 -123	-14 	 1 	 499
1.124246	-80 	 132 	 1261	13 	 6 	 -125	-14 	 1 	 497
1.133224	-87 	 152 	 1258	4 	 6 	 -128	-12 	 3 	 497
1.14205	-80 	 150 	 1278	1 	 1 	 -127	-12 	 0 	 489
1.15117	-74 	 143 	 1263	10 	 6 	 -128	-10 	 3 	 490
1.159904	-81 	 151 	 1255	9 	 -1 	 -123	-11 	 1 	 497
1.168737	-72 	 146 	 1254	1 	 -1 	 -124	-11 	 1 	 498
1.177479	-64 	 131 	 1267	11 	 0 	 -121	-12 	 4 	 498
1.186424	-81 	 143 	 1274	8 	 0 	 -125	-10 	 -2 	 499
1.195347	-71 	 139 	 1255	15 	 0 	 -127	-11 	 0 	 500
1.204287	-80 	 153 	 1281	19 	 0 	 -128	-13 	 1 	 506
1.213142	-86 	 143 	 1283	-1 	 0 	 -124	-13 	 1 	 493
1.222089	-69 	 140 	 1258	6 	 4 	 -128	-13 	 1 	 493
1.231039	-77 	 146 	 1285	6 	 -3 	 -125	-13 	 0 	 483
1.239748	-79 	 138 	 1250	6 	 -3 	 -123	-11 	 -1 	 496
1.24859	-78 	 133 	 1254	12 	 2 	 -118	-13 	 -1 	 495
1.257564	-70 	 144 	 1256	7 	 6 	 -120	-13 	 -1 	 497
1.266373	-89 	 138 	 1289	11 	 7 	 -126	-12 	 1 	 497
1.275356	-70 	 142 	 1286	6 	 8 	 -124	-11 	 3 	 487
1.284392	-70 	 146 	 1278	8 	 0 	 -121	-11 	 1 	 501
1.293119	-72 	 135 	 1276	15 	 2 	 -124	-11 	 2 	 494
1.302124	-86 	 151 	 1271	13 	 2 	 -125	-11 	 2 	 491
1.311057	-78 	 131 	 1271	10 	 3 	 -126	-12 	 1 	 491
1.319879	-73 	 148 	 1280	6 	 2 	 -126	-12 	 2 	 495
1.328947	-90 	 137 	 1282	7 	 -250 	 -124	-14 	 2 	 500
1.337935	-84 	 133 	 1283	6 	 -7 	 -128	-10 	 3 	 493
1.346896	-75 	 146 	 1275	6 	 252 	 -120	-10 	 3 	 493
1.35577	-75 	 145 	 1261	10 	 6 	 -116	-10 	 3 	 493
1.364637	-73 	 149 	 1031	9 	 -1 	 -125	-13 	 0 	 497
1.373385	-65 	 137 	 1270	8 	 2 	 -124	-14 	 4 	 497
1.382176	-77 	 138 	 1268	11 	 5 	 -130	-16 	 -1 	 498
1.391312	-88 	 146 	 1253	2 	 3 	 -128	-16 	 -1 	 490
1.400361	-81 	 131 	 1301	11 	 10 	 -130	-12 	 -3 	 490
1.40936	-76 	 141 	 1051	16 	 4 	 -128	-10 	 0 	 500
1.418305	-70 	 139 	 1267	15 	 -1 	 -126	-11 	 0 	 493
1.426966	-92 	 138 	 1281	15 	 5 	 -121	-14 	 2 	 491
1.435706	-69 	 142 	 1278	4 	 1 	 -120	-14 	 2 	 498
